,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle,Timestamp,id,lat,long,day,hour,minute,Weekend
1753,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:10:00,10.0,36.05064522,24.87956764,7.0,12.0,10.0,False
1754,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:11:00,10.0,36.052809065,24.87647774,7.0,12.0,11.0,False
1755,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:12:00,10.0,36.05574706,24.87409817,7.0,12.0,12.0,False
1756,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:13:00,10.0,36.056655289999995,24.869677845,7.0,12.0,13.0,False
1757,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:14:00,10.0,36.05666602,24.86456343,7.0,12.0,14.0,False
1758,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:15:00,10.0,36.057001295000006,24.859552485000002,7.0,12.0,15.0,False
1759,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 12:16:00,10.0,36.059399729999996,24.858041125,7.0,12.0,16.0,False
1830,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:27:00,10.0,36.058091765,24.859448559999997,7.0,13.0,27.0,False
1831,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:28:00,10.0,36.05667479,24.86343224,7.0,13.0,28.0,False
1832,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:29:00,10.0,36.05666319,24.86817748,7.0,13.0,29.0,False
1833,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:30:00,10.0,36.05576915,24.87255363,7.0,13.0,30.0,False
1834,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:31:00,10.0,36.05360821,24.876261135,7.0,13.0,31.0,False
1835,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:32:00,10.0,36.051836565,24.87956705,7.0,13.0,32.0,False
1836,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 13:33:00,10.0,36.048512020000004,24.879572574999997,7.0,13.0,33.0,False
2116,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:13:00,10.0,36.05056133,24.87956755,7.0,18.0,13.0,False
2117,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:14:00,10.0,36.05279026,24.87649188,7.0,18.0,14.0,False
2118,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:15:00,10.0,36.057954145,24.876196115,7.0,18.0,15.0,False
2119,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:16:00,10.0,36.06323578,24.876431095,7.0,18.0,16.0,False
2120,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:17:00,10.0,36.06828326,24.876275765,7.0,18.0,17.0,False
2121,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:18:00,10.0,36.06959553,24.87171609,7.0,18.0,18.0,False
2122,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:19:00,10.0,36.071556990000005,24.868168830000002,7.0,18.0,19.0,False
2123,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 18:20:00,10.0,36.07435535,24.86579287,7.0,18.0,20.0,False
2215,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 19:52:00,10.0,36.07663588,24.86392239,7.0,19.0,52.0,False
2216,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 19:53:00,10.0,36.07665112,24.8597564,7.0,19.0,53.0,False
2218,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 19:55:00,10.0,36.07663382,24.85760204,7.0,19.0,55.0,False
2339,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 21:56:00,10.0,36.07665594,24.86001327,7.0,21.0,56.0,False
2340,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 21:57:00,10.0,36.076628979999995,24.86464307,7.0,21.0,57.0,False
2845,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 06:22:00,10.0,36.07683699,24.86588886,8.0,6.0,22.0,False
2869,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 06:46:00,10.0,36.07434438,24.86557608,8.0,6.0,46.0,False
2874,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 06:51:00,10.0,36.07332763,24.86418879,8.0,6.0,51.0,False
2908,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:25:00,10.0,36.07169292,24.86426926,8.0,7.0,25.0,False
2909,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:26:00,10.0,36.071176585,24.86657668,8.0,7.0,26.0,False
2910,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:27:00,10.0,36.06983794,24.86859085,8.0,7.0,27.0,False
2911,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:28:00,10.0,36.06962073,24.87120784,8.0,7.0,28.0,False
2912,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:29:00,10.0,36.06932486,24.87409247,8.0,7.0,29.0,False
2913,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:30:00,10.0,36.068324425,24.876249795,8.0,7.0,30.0,False
2914,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:31:00,10.0,36.065287915,24.876411230000002,8.0,7.0,31.0,False
2915,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:32:00,10.0,36.0623797,24.8763967,8.0,7.0,32.0,False
2916,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:33:00,10.0,36.059431795,24.87619665,8.0,7.0,33.0,False
2917,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:34:00,10.0,36.05625619,24.87618532,8.0,7.0,34.0,False
2918,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:35:00,10.0,36.053261995,24.876358240000002,8.0,7.0,35.0,False
2919,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:36:00,10.0,36.05193765,24.87822699,8.0,7.0,36.0,False
2920,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:37:00,10.0,36.05034808,24.8795775,8.0,7.0,37.0,False
2921,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 07:38:00,10.0,36.04839697,24.87957172,8.0,7.0,38.0,False
3180,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 11:57:00,10.0,36.05064889,24.87956787,8.0,11.0,57.0,False
3181,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 11:58:00,10.0,36.05272256,24.87649826,8.0,11.0,58.0,False
3182,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 11:59:00,10.0,36.05805596,24.87619385,8.0,11.0,59.0,False
3183,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:00:00,10.0,36.063164435000004,24.876416965,8.0,12.0,0.0,False
3184,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:01:00,10.0,36.0683368,24.87605692,8.0,12.0,1.0,False
3185,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:02:00,10.0,36.06960753,24.87163669,8.0,12.0,2.0,False
3186,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:03:00,10.0,36.071385285000005,24.86817681,8.0,12.0,3.0,False
3187,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:04:00,10.0,36.07444598,24.86576857,8.0,12.0,4.0,False
3188,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:05:00,10.0,36.07664679,24.86222855,8.0,12.0,5.0,False
3189,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 12:06:00,10.0,36.076652325,24.85861083,8.0,12.0,6.0,False
3259,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:16:00,10.0,36.07665093999999,24.86061618,8.0,13.0,16.0,False
3260,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:17:00,10.0,36.07620694,24.8656587,8.0,13.0,17.0,False
3261,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:18:00,10.0,36.072416325,24.866936815,8.0,13.0,18.0,False
3262,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:19:00,10.0,36.06964805,24.86924845,8.0,13.0,19.0,False
3263,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:20:00,10.0,36.06893876,24.87472152,8.0,13.0,20.0,False
3264,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:21:00,10.0,36.065950265,24.876391875000003,8.0,13.0,21.0,False
3265,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:22:00,10.0,36.06020219,24.876211935,8.0,13.0,22.0,False
3266,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:23:00,10.0,36.05487828,24.87619673,8.0,13.0,23.0,False
3267,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:24:00,10.0,36.05193149,24.87850085,8.0,13.0,24.0,False
3268,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 13:25:00,10.0,36.04908341,24.87957433,8.0,13.0,25.0,False
3564,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:21:00,10.0,36.05060207,24.87956726,8.0,18.0,21.0,False
3565,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:22:00,10.0,36.052838595,24.876485115,8.0,18.0,22.0,False
3566,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:23:00,10.0,36.057875519999996,24.876185810000003,8.0,18.0,23.0,False
3567,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:24:00,10.0,36.06344134,24.87642077,8.0,18.0,24.0,False
3568,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:25:00,10.0,36.068334475,24.87590725,8.0,18.0,25.0,False
3569,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:26:00,10.0,36.06961689,24.87154394,8.0,18.0,26.0,False
3570,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:27:00,10.0,36.07142904,24.86816585,8.0,18.0,27.0,False
3571,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:28:00,10.0,36.0741808,24.86579526,8.0,18.0,28.0,False
3572,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 18:29:00,10.0,36.07683648,24.86589213,8.0,18.0,29.0,False
3646,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 19:43:00,10.0,36.07663365,24.86433788,8.0,19.0,43.0,False
3647,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 19:44:00,10.0,36.0766546,24.85917352,8.0,19.0,44.0,False
3648,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 19:45:00,10.0,36.07663525,24.85757655,8.0,19.0,45.0,False
3719,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 20:56:00,10.0,36.07666037,24.86038617,8.0,20.0,56.0,False
3720,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 20:57:00,10.0,36.0766294,24.86452985,8.0,20.0,57.0,False
3722,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-08 20:59:00,10.0,36.07685033,24.86587986,8.0,20.0,59.0,False
4329,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:06:00,10.0,36.0753661,24.865773609999998,9.0,7.0,6.0,False
4330,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:07:00,10.0,36.07425851,24.86429965,9.0,7.0,7.0,False
4360,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:37:00,10.0,36.07179771,24.86426889,9.0,7.0,37.0,False
4361,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:38:00,10.0,36.07111051,24.86658164,9.0,7.0,38.0,False
4362,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:39:00,10.0,36.07012947,24.8685804,9.0,7.0,39.0,False
4363,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:40:00,10.0,36.06962549,24.871052825,9.0,7.0,40.0,False
4364,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:41:00,10.0,36.06931435,24.8740688,9.0,7.0,41.0,False
4365,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:42:00,10.0,36.068325720000004,24.876127405,9.0,7.0,42.0,False
4366,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:43:00,10.0,36.06495757,24.87641193,9.0,7.0,43.0,False
4367,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:44:00,10.0,36.06222778,24.87642121,9.0,7.0,44.0,False
4368,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:45:00,10.0,36.0595871,24.87619211,9.0,7.0,45.0,False
4369,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:46:00,10.0,36.056439929999996,24.876190915000002,9.0,7.0,46.0,False
4370,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:47:00,10.0,36.05332538,24.876340045,9.0,7.0,47.0,False
4371,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:48:00,10.0,36.051937975,24.878016005,9.0,7.0,48.0,False
4372,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:49:00,10.0,36.05043075,24.87957878,9.0,7.0,49.0,False
4373,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 07:50:00,10.0,36.04844412,24.87957273,9.0,7.0,50.0,False
4636,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 12:13:00,10.0,36.05012509,24.87906606,9.0,12.0,13.0,False
4637,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 12:14:00,10.0,36.05106095,24.8729419,9.0,12.0,14.0,False
4638,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 12:15:00,10.0,36.051951439999996,24.870879940000002,9.0,12.0,15.0,False
4686,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 13:03:00,10.0,36.05107865,24.87259501,9.0,13.0,3.0,False
4687,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 13:04:00,10.0,36.05013574,24.87841945,9.0,13.0,4.0,False
4688,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 13:05:00,10.0,36.048131325,24.879569574999998,9.0,13.0,5.0,False
4985,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:02:00,10.0,36.05030716,24.87957265,9.0,18.0,2.0,False
4986,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:03:00,10.0,36.052798190000004,24.876493144999998,9.0,18.0,3.0,False
4987,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:04:00,10.0,36.05766234,24.87619073,9.0,18.0,4.0,False
4988,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:05:00,10.0,36.06306886,24.87641692,9.0,18.0,5.0,False
4989,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:06:00,10.0,36.068332854999994,24.876083095,9.0,18.0,6.0,False
4990,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:07:00,10.0,36.06959622,24.87172143,9.0,18.0,7.0,False
4991,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:08:00,10.0,36.07132416,24.86816953,9.0,18.0,8.0,False
4992,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 18:09:00,10.0,36.074235195,24.86579336,9.0,18.0,9.0,False
5086,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 19:43:00,10.0,36.07524804,24.8646065,9.0,19.0,43.0,False
5087,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 19:44:00,10.0,36.07524678,24.85955628,9.0,19.0,44.0,False
5088,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 19:45:00,10.0,36.07528423,24.85640764,9.0,19.0,45.0,False
5192,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 21:29:00,10.0,36.075247,24.85909376,9.0,21.0,29.0,False
5193,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 21:30:00,10.0,36.075252175,24.86399524,9.0,21.0,30.0,False
5194,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 21:31:00,10.0,36.076593175,24.865845895,9.0,21.0,31.0,False
5203,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-09 21:40:00,10.0,36.07683,24.86587498,9.0,21.0,40.0,False
5743,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 06:40:00,10.0,36.07438706,24.865690944999997,10.0,6.0,40.0,False
5749,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 06:46:00,10.0,36.07333185,24.86419864,10.0,6.0,46.0,False
5787,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:24:00,10.0,36.07183336,24.864257074999998,10.0,7.0,24.0,False
5788,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:25:00,10.0,36.07112381,24.86658716,10.0,7.0,25.0,False
5789,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:26:00,10.0,36.07010368,24.868567,10.0,7.0,26.0,False
5790,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:27:00,10.0,36.069628554999994,24.87123738,10.0,7.0,27.0,False
5791,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:28:00,10.0,36.069311395,24.874022185,10.0,7.0,28.0,False
5792,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:29:00,10.0,36.06823418,24.87628371,10.0,7.0,29.0,False
5793,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:30:00,10.0,36.065263325000004,24.876419050000003,10.0,7.0,30.0,False
5794,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:31:00,10.0,36.062148225,24.876423799999998,10.0,7.0,31.0,False
5795,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:32:00,10.0,36.05942025,24.876201485000003,10.0,7.0,32.0,False
5796,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:33:00,10.0,36.05634742,24.876188295,10.0,7.0,33.0,False
5797,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:34:00,10.0,36.05338258,24.87631758,10.0,7.0,34.0,False
5798,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:35:00,10.0,36.05193432,24.878057759999997,10.0,7.0,35.0,False
5799,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:36:00,10.0,36.05035108,24.87957774,10.0,7.0,36.0,False
5800,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 07:37:00,10.0,36.0483865,24.87957115,10.0,7.0,37.0,False
6080,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:17:00,10.0,36.050698354999994,24.87956783,10.0,12.0,17.0,False
6081,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:18:00,10.0,36.052494755,24.87651052,10.0,12.0,18.0,False
6082,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:19:00,10.0,36.05788425,24.87618954,10.0,12.0,19.0,False
6083,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:20:00,10.0,36.06294219,24.8764162,10.0,12.0,20.0,False
6084,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:21:00,10.0,36.068325795,24.876013020000002,10.0,12.0,21.0,False
6085,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:22:00,10.0,36.06961771,24.87144852,10.0,12.0,22.0,False
6086,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-10 12:23:00,10.0,36.07146829,24.86816942,10.0,12.0,23.0,False
